ds,NO2,SO2,PM25,PM10
2025-04-22 16:00:00,15.890693866046359,10.324390187570945,27.139946893073418,77.95661864398403
2025-04-22 16:15:00,16.601169120633166,10.794640812337828,27.16147898642958,78.8064476233003
2025-04-22 16:30:00,17.51341388737893,11.255188348269403,27.29435826878909,80.18450801662354
2025-04-22 16:45:00,18.62412063550481,11.684601767515522,27.541002677609665,82.08870277624435
2025-04-22 17:00:00,19.921641154685602,12.064118986463221,27.898733114456665,84.49219235253574
2025-04-22 17:15:00,21.38586494239886,12.378611821122076,28.359517283376572,87.34314894990702
2025-04-22 17:30:00,22.98856452563735,12.617287734933068,28.91003701517628,90.56597522300318
2025-04-22 17:45:00,24.69420666399762,12.774091318823965,29.53208478378851,94.06396100145439
2025-04-22 18:00:00,26.46119953326743,12.84778901942437,30.203273559304932,97.7232595338817
2025-04-22 18:15:00,28.243518517803988,12.841741964316284,30.898023405245638,101.4179789596582
2025-04-22 18:30:00,29.992628859834287,12.763392353497363,31.588769686403126,105.01611080510808
2025-04-22 18:45:00,31.659603763429597,12.623507427645238,32.24732266637422,108.38596028161523
2025-04-22 19:00:00,33.19732289749724,12.435240257042897,32.846297648187374,111.40270681761506
2025-04-22 19:15:00,34.56262961675263,12.213077527222229,33.36052941737783,113.95471033323788
2025-04-22 19:30:00,35.71832595726778,11.971750450177648,33.76838490249513,115.94918996541556
2025-04-22 19:45:00,36.634892709465944,11.725185554079566,34.05289374610318,117.316936992124
2025-04-22 20:00:00,37.291837079186855,11.485567433400401,34.20262748172569,118.0157802973275
2025-04-22 20:15:00,37.678591701435884,11.262575961700216,34.212273535138806,118.03259733088383
2025-04-22 20:30:00,37.79491475328459,11.062846714466183,34.082869300588754,117.38375143131188
2025-04-22 20:45:00,37.650770032747545,10.889686403875617,33.8216828393792,116.11393197942513
2025-04-22 21:00:00,37.26569622928285,10.743056236840978,33.441748897094776,114.29347094461959
2025-04-22 21:15:00,36.6677043795322,10.619816588597068,32.9610904979834,112.01430182037473
2025-04-22 21:30:00,35.891769755811296,10.514207620834556,32.40167591919185,109.38480871121932
2025-04-22 21:45:00,34.97800749260718,10.418523777550845,31.78817710023685,106.52387924083504
2025-04-22 22:00:00,33.96963870425324,10.323926616324009,31.146607454177555,103.55452085087732
2025-04-22 22:15:00,32.91086457308012,10.221331098853856,30.502923814561587,100.59742292362085
2025-04-22 22:30:00,31.844769338325186,10.102295907670799,29.881678502685617,97.76484587057905
2025-04-22 22:45:00,30.811369066680534,9.959848854710959,29.304803126992798,95.15519286129881
2025-04-22 23:00:00,29.84591191054842,9.789183941809686,28.790596080845674,92.84857218059182
2025-04-22 23:15:00,28.97751802728864,9.588176696720875,28.352971444468185,90.90359147558227
2025-04-22 23:30:00,28.228224651143194,9.357678307542399,28.001009104262316,89.35554390891099
2025-04-22 23:45:00,27.61247545044215,9.101565796320019,27.73882557392615,88.21605577511656
2025-04-23 00:45:00,26.51679419085206,7.98703286999303,27.515045277559,87.24404489718017
2025-04-23 01:00:00,26.53886386777919,7.740931586809201,27.61832973824962,87.63741273506356
2025-04-23 01:15:00,26.64613731651396,7.530711983230732,27.76042204176121,88.15270138198137
2025-04-23 01:30:00,26.81863113901678,7.365751203591942,27.9288488268126,88.72331606889652
2025-04-23 01:45:00,27.03679705203979,7.252950593124369,28.112739435061123,89.2900706093672
2025-04-23 02:00:00,27.28283133188335,7.196134189865235,28.303622630973365,89.8049742399145
2025-04-23 02:30:00,27.802157178078573,7.248297869095994,28.68763195177651,90.55888851265352
2025-04-23 02:45:00,28.056702801821004,7.347328035410026,28.879600547041747,90.77727319302412
2025-04-23 03:00:00,28.302158046267433,7.482959288844107,29.076015342207512,90.90219759077776
2025-04-23 03:15:00,28.539177160921394,7.64294169708604,29.283521114780694,90.96005489473077
2025-04-23 03:30:00,28.771745443283862,7.813395093762586,29.510566246259714,90.9877543730067
2025-04-23 03:45:00,29.006379714269467,7.979777518157758,29.76651485443564,91.02913265477765
2025-04-23 04:00:00,29.251150555377176,8.127929898756754,30.060665798572753,91.1309163050339
2025-04-23 04:30:00,29.804696532996918,8.321035797849836,30.79449513989601,91.69211120497549
2025-04-23 05:00:00,30.487610378759282,8.324537775987574,31.749051728184536,92.9502370968168
2025-04-23 05:15:00,30.885029739512486,8.249915788029268,32.30636357406601,93.8799714404084
2025-04-23 05:30:00,31.317246325048778,8.130039459453206,32.907807648619276,95.00311574958891
2025-04-23 05:45:00,31.777916233543284,7.974326094791092,33.54164214271429,96.29620799939772
2025-04-23 06:00:00,32.25731232500587,7.79577126953503,34.19272832870111,97.72249035704296
2025-04-23 06:15:00,32.742803657171294,7.6101676036376,34.84321166449355,99.23409812372667
2025-04-23 06:30:00,33.21957300092157,7.4351039659154,35.47340942564105,100.77505016310941
2025-04-23 06:45:00,33.67151698994414,7.288807880229434,36.06284705398945,102.28481819389987
2025-04-23 07:00:00,34.08226033707582,7.188905857366052,36.59137489212028,103.70221310071345
2025-04-23 07:15:00,34.436207586869344,7.151183431894159,37.04029116689411,104.96930621558135
2025-04-23 08:00:00,35.0333552923373,7.518248497245391,37.76518024600533,107.41177525490119
